day	rule	criterion	deviations
2026-09-18	ALL_RULES	current_criterion	145
2026-09-19	ALL_RULES	current_criterion	138
2026-09-20	ALL_RULES	current_criterion	168
2026-09-18	ALL_RULES	reported_daily	175
2026-09-19	ALL_RULES	reported_daily	196
2026-09-20	ALL_RULES	reported_daily	214
2026-09-18	R01	current_criterion	49
2026-09-19	R01	current_criterion	53
2026-09-20	R01	current_criterion	49
2026-09-18	R01	reported_daily	49
2026-09-19	R01	reported_daily	53
2026-09-20	R01	reported_daily	49
2026-09-18	R02	current_criterion	16
2026-09-19	R02	current_criterion	33
2026-09-20	R02	current_criterion	66
2026-09-18	R02	reported_daily	16
2026-09-19	R02	reported_daily	33
2026-09-20	R02	reported_daily	66
2026-09-18	R03	current_criterion	7
2026-09-19	R03	current_criterion	7
2026-09-20	R03	current_criterion	24
2026-09-18	R04	current_criterion	16
2026-09-19	R04	current_criterion	13
2026-09-20	R04	current_criterion	7
2026-09-18	R04	reported_daily	46
2026-09-19	R04	reported_daily	69
2026-09-20	R04	reported_daily	7
2026-09-18	R05	current_criterion	15
2026-09-19	R05	current_criterion	10
2026-09-20	R05	current_criterion	6
2026-09-18	R06	current_criterion	17
2026-09-19	R06	current_criterion	1
2026-09-20	R06	current_criterion	3
2026-09-18	R07	current_criterion	4
2026-09-19	R07	current_criterion	2
2026-09-20	R07	current_criterion	12
2026-09-18	R08	current_criterion	11
2026-09-19	R08	current_criterion	7
2026-09-20	R08	current_criterion	0
2026-09-18	R09	current_criterion	6
2026-09-19	R09	current_criterion	2
2026-09-20	R09	current_criterion	0
2026-09-18	R10	current_criterion	2
2026-09-19	R10	current_criterion	3
2026-09-20	R10	current_criterion	0
2026-09-18	R11	current_criterion	1
2026-09-19	R11	current_criterion	2
2026-09-20	R11	current_criterion	1
2026-09-18	R12	current_criterion	0
2026-09-19	R12	current_criterion	2
2026-09-20	R12	current_criterion	0
2026-09-18	R13	current_criterion	0
2026-09-19	R13	current_criterion	1
2026-09-20	R13	current_criterion	0
2026-09-18	R14	current_criterion	0
2026-09-19	R14	current_criterion	1
2026-09-20	R14	current_criterion	0
2026-09-18	R15	current_criterion	0
2026-09-19	R15	current_criterion	1
2026-09-20	R15	current_criterion	0
2026-09-18	R16	current_criterion	1
2026-09-19	R16	current_criterion	0
2026-09-20	R16	current_criterion	0
