case_id	track	m4_pass	a_pass	b_pass	m4_violations	a_violations	b_violations	m4_pred_mode	a_pred_mode	b_pred_mode	gold_mode
exec-0001	exec	False	False	False	R9	R9	R9				
exec-0002	exec	False	False	False	R9	R9	R9				
exec-0003	exec	False	False	False	R9	R9	R9				
exec-0004	exec	False	False	False	R9	R9	R9				
exec-0005	exec	False	False	False	R9	R9	R9				
exec-0006	exec	False	False	False	R9	R9	R9				
exec-0007	exec	False	False	False	R9	R9	R9				
exec-0008	exec	False	False	False	R9	R9	R9				
exec-0009	exec	False	False	False	R9	R9	R9				
exec-0010	exec	False	False	False	R9	R9	R9				
exec-0011	exec	False	False	False	R9	R9	R9				
exec-0012	exec	False	False	False	R9	R9	R9				
exec-0013	exec	True	False	True		R9					
exec-0014	exec	False	False	False	R9	R9	R9				
exec-0015	exec	False	False	False			R9				
exec-0016	exec	False	False	True	R9	R9					
exec-0017	exec	True	True	False			R9				
exec-0018	exec	False	True	False	R9		R9				
exec-0019	exec	True	True	True							
exec-0020	exec	False	False	True	R9	R9					
exec-0021	exec	False	True	True	R9						
exec-0022	exec	False	False	True	R9	R9					
exec-0023	exec	False	False	False	R9	R9	R9				
exec-0024	exec	True	False	True		R9					
exec-0025	exec	False	False	False	R9	R9	R9				
exec-0026	exec	False	False	False	R9	R9	R9				
exec-0027	exec	False	False	True	R9	R9					
exec-0028	exec	False	False	True	R9	R9					
exec-0029	exec	False	False	False	R9	R9	R9				
exec-0030	exec	False	False	False	R9	R9	R9				
exec-0031	exec	False	False	True	R9	R9					
exec-0032	exec	False	False	True	R9	R9					
exec-0033	exec	False	False	False	R9	R9	R9				
exec-0034	exec	False	False	False	R9	R9	R9				
exec-0035	exec	False	False	False	R9	R9	R9				
exec-0036	exec	False	False	True	R9	R9					
exec-0037	exec	False	False	True	R9	R9					
exec-0038	exec	True	False	False		R8	R8,R9				
exec-0039	exec	False	False	True	R9	R8					
exec-0040	exec	False	False	True	R9	R9					
exec-0041	exec	False	False	False	R9	R9					
exec-0042	exec	False	False	True	R9	R2,R9,R10					
exec-0043	exec	False	True	False	R9						
exec-0044	exec	False	False	False	R8,R9	R9	R8,R9				
exec-0045	exec	False	False	False	R9	R9	R9				
exec-0046	exec	True	False	False		R9					
exec-0047	exec	True	True	True							
exec-0048	exec	False	False	True	R9	R9					
exec-0049	exec	False	False	True	R9	R9					
exec-0050	exec	True	True	False							
exec-0051	exec	False	False	False	R9	R9	R9				
exec-0052	exec	False	False	True	R9	R9					
exec-0053	exec	False	False	False	R9		R9				
exec-0054	exec	False	False	False	R9	R9	R9				
exec-0055	exec	False	False	False	R9	R9	R9				
exec-0056	exec	False	False	False	R9	R9	R9				
exec-0057	exec	False	False	False	R9	R9	R9				
exec-0058	exec	False	False	False	R9	R9	R9				
exec-0059	exec	False	False	False	R9	R9					
exec-0060	exec	False	False	False		R9					
exec-0061	exec	False	True	True	R9						
exec-0062	exec	False	False	False	R9	R9	R9				
exec-0063	exec	False	False	True	R9	R9					
exec-0064	exec	False	False	False	R9	R9	R9				
exec-0065	exec	False	False	False	R9	R9	R9				
exec-0066	exec	False	False	False	R9	R9	R9				
exec-0067	exec	False	False	False	R9	R9	R9				
exec-0068	exec	False	False	False	R9	R9	R9				
exec-0069	exec	False	False	False	R9	R9	R9				
exec-0070	exec	False	False	False	R9	R9	R9				
exec-0071	exec	False	True	False	R9		R9				
exec-0072	exec	True	False	False		R9					
exec-0073	exec	False	False	False		R9	R9				
exec-0074	exec	False	False	True	R9	R9					
exec-0075	exec	True	True	False			R9				
exec-0076	exec	False	False	True	R9	R9					
exec-0077	exec	False	False	False	R9	R9	R9				
exec-0078	exec	False	False	False	R9	R9	R9				
exec-0079	exec	False	False	False	R9	R9	R9				
exec-0080	exec	False	False	False	R9	R9	R9				
exec-0081	exec	False	False	False	R9	R9	R9				
exec-0082	exec	False	False	False	R9	R9	R9				
exec-0083	exec	False	False	True	R9	R9					
exec-0084	exec	False	False	False	R9	R9	R9				
exec-0085	exec	False	False	False	R9	R9	R9				
exec-0086	exec	False	False	False	R9	R9	R9				
exec-0087	exec	False	False	False	R9	R9	R9				
exec-0088	exec	False	False	False	R9	R9	R9				
exec-0089	exec	False	False	False	R9	R9	R9				
exec-0090	exec	False	False	False	R9	R9	R9				
exec-0091	exec	False	False	False	R9	R9	R9				
exec-0092	exec	False	False	False	R9	R9	R9				
exec-0093	exec	False	False	False	R9	R9	R9				
exec-0094	exec	False	False	False	R9	R9	R9				
exec-0095	exec	False	False	False	R9	R9	R9				
exec-0096	exec	False	False	False	R9	R9	R9				
exec-0097	exec	False	False	False	R9	R9	R9				
exec-0098	exec	False	False	False	R9	R9	R9				
exec-0099	exec	False	False	False	R9	R9	R9				
